epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
122,4620.63,1.68171,1.05558,0.98849,0.95037,0.62072,0.69245,0.47934,1.1075,0.62755,0.91182,0.00040105,0.00040105,0.00040105
123,4657.24,1.68094,1.06418,0.98532,0.95026,0.62279,0.69348,0.47865,1.10717,0.62698,0.91166,0.0003961,0.0003961,0.0003961
124,4694.23,1.68413,1.05936,0.9839,0.95199,0.62335,0.69444,0.48098,1.1043,0.62558,0.91134,0.00039115,0.00039115,0.00039115
125,4731.34,1.66108,1.04218,0.98718,0.95203,0.6239,0.69548,0.48187,1.10263,0.62495,0.91103,0.0003862,0.0003862,0.0003862
126,4767.43,1.64818,1.03076,0.98458,0.95348,0.62377,0.6958,0.48332,1.10072,0.62377,0.91069,0.00038125,0.00038125,0.00038125
127,4802.3,1.67118,1.0504,0.98394,0.9563,0.62338,0.69531,0.48317,1.09804,0.62304,0.91034,0.0003763,0.0003763,0.0003763
128,4836.66,1.65585,1.04105,0.98178,0.95629,0.62329,0.6955,0.48342,1.09689,0.62251,0.91016,0.00037135,0.00037135,0.00037135
129,4872.19,1.64421,1.0345,0.97663,0.95772,0.62279,0.69561,0.48554,1.09588,0.62226,0.90991,0.0003664,0.0003664,0.0003664
130,4908.15,1.65093,1.04029,0.98216,0.95738,0.62377,0.69595,0.48553,1.09558,0.62228,0.90981,0.00036145,0.00036145,0.00036145
131,4944.63,1.6357,1.03385,0.97912,0.95727,0.62377,0.69603,0.48535,1.09609,0.62194,0.90981,0.0003565,0.0003565,0.0003565
132,4980.87,1.63201,1.02909,0.97647,0.9578,0.62424,0.69612,0.48513,1.09535,0.6211,0.90952,0.00035155,0.00035155,0.00035155
133,5016.42,1.62306,1.01534,0.97534,0.95826,0.62377,0.6961,0.48594,1.09394,0.62034,0.9093,0.0003466,0.0003466,0.0003466
134,5052.1,1.62901,1.04078,0.9751,0.95925,0.62431,0.69618,0.48592,1.09298,0.61914,0.90921,0.00034165,0.00034165,0.00034165
135,5087.98,1.59885,0.99961,0.97098,0.95785,0.62503,0.69735,0.48659,1.09206,0.6185,0.90898,0.0003367,0.0003367,0.0003367
136,5124.74,1.60631,1.00011,0.97546,0.95786,0.6252,0.69791,0.48643,1.09127,0.61813,0.90883,0.00033175,0.00033175,0.00033175
137,5161.29,1.58877,1.00496,0.9703,0.95953,0.62574,0.69758,0.4869,1.09036,0.6183,0.90876,0.0003268,0.0003268,0.0003268
138,5198.5,1.6098,1.00055,0.96987,0.9603,0.62574,0.6983,0.48699,1.0907,0.61769,0.9087,0.00032185,0.00032185,0.00032185
139,5235.82,1.62843,1.02002,0.97247,0.96016,0.62574,0.69835,0.48708,1.09125,0.6175,0.90865,0.0003169,0.0003169,0.0003169
140,5272.09,1.60786,1.01537,0.96932,0.95789,0.62565,0.69959,0.48807,1.08833,0.6168,0.90825,0.00031195,0.00031195,0.00031195
141,5308.24,1.59481,1.00714,0.96759,0.9593,0.62509,0.6985,0.48815,1.08843,0.61633,0.90816,0.000307,0.000307,0.000307
142,5344.32,1.58448,0.99578,0.96734,0.95925,0.62435,0.70006,0.4887,1.0867,0.61583,0.90791,0.00030205,0.00030205,0.00030205
143,5381.14,1.58123,1.00253,0.96519,0.95835,0.62377,0.70024,0.48973,1.08484,0.61577,0.90774,0.0002971,0.0002971,0.0002971
144,5417.85,1.56069,0.97728,0.96322,0.9614,0.62377,0.70017,0.48984,1.08318,0.61528,0.90751,0.00029215,0.00029215,0.00029215
145,5455.22,1.56553,0.97622,0.9651,0.95488,0.62377,0.70021,0.49069,1.08199,0.61467,0.90738,0.0002872,0.0002872,0.0002872
146,5491.07,1.54235,0.96691,0.96219,0.95465,0.62377,0.70094,0.49104,1.08051,0.61396,0.90714,0.00028225,0.00028225,0.00028225
147,5526.82,1.56157,0.98059,0.96564,0.95866,0.62377,0.70044,0.4921,1.07978,0.61355,0.90699,0.0002773,0.0002773,0.0002773
148,5562.03,1.54617,0.97455,0.95959,0.9621,0.62344,0.70084,0.4913,1.0789,0.61367,0.90689,0.00027235,0.00027235,0.00027235
